rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
916,GreyTK,https://www.openstreetmap.org/user/GreyTK,4152092,37,493,United States of America,"JOSM/1.5 (18907 en),Rapid 2.2.1,iD 2.27.3,MapRoulette,Rapid 2.0.3",355,29,4,39,63,2,0,1,0,0,1,1.0,0.0,19.0,59.0,0.0,1.0,10.0,0.0,"{""surface"": 26, ""highway"": 19, ""amenity"": 10, ""parking"": 10, ""capacity"": 9, ""barrier"": 7, ""capacity:disabled"": 7, ""leisure"": 2, ""sport"": 2, ""building"": 1, ""access"": 1}","{""highway"": 59, ""name"": 55, ""tiger:cfcc"": 44, ""tiger:name_base"": 43, ""tiger:county"": 42, ""tiger:reviewed"": 37, ""ref"": 31, ""tiger:name_base_1"": 31, ""tiger:zip_left"": 23, ""tiger:name_direction_suffix_1"": 19, ""tiger:zip_right"": 19, ""lanes"": 19, ""tiger:name_type"": 16, ""tiger:name_direction_prefix_1"": 14, ""surface"": 13, ""tiger:name_base_2"": 12, ""oneway"": 12, ""tiger:name_type_1"": 8, ""tiger:name_direction_prefix"": 7, ""name_1"": 7, ""tiger:name_direction_prefix_2"": 6, ""source"": 5, ""maxspeed"": 5, ""bridge"": 5, ""layer"": 5, ""NHS"": 4, ""nat_ref"": 4, ""leisure"": 4, ""tiger:name_direction_suffix_2"": 3, ""tiger:name_direction_suffix"": 3, ""tiger:zip_left_1"": 3, ""sport"": 3, ""addr:postcode"": 2, ""access"": 2, ""alt_name"": 2, ""source:maxspeed"": 2, ""turn:lanes"": 2, ""is_in"": 1, ""tiger:zip_right_1"": 1, ""fixme"": 1, ""tiger:zip_left_2"": 1, ""expressway"": 1, ""NHD:ComID"": 1, ""NHD:FCode"": 1, ""NHD:FType"": 1, ""NHD:RESOLUTION"": 1, ""NHD:ReachCode"": 1, ""NHD:way_id"": 1, ""attribution"": 1, ""waterway"": 1, ""old_ref"": 1, ""turn:lanes:forward"": 1, ""old_ref_legislative"": 1, ""toll"": 1, ""addr:city"": 1, ""addr:state"": 1, ""addr:street"": 1, ""placement"": 1, ""tiger:name_type_2"": 1, ""network"": 1, ""route"": 1, ""symbol"": 1, ""type"": 1}","#OSMChecks,#RoadNameGap,#maproulette,#AbbreviatedHighwayNames",2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
917,Goofball5388,https://www.openstreetmap.org/user/Goofball5388,20628603,59,492,United States of America,"StreetComplete 55.1,Every Door Android 4.1",51,148,0,0,293,0,0,0,0,51,148,0.0,56.0,0.0,333.0,0.0,0.0,39.0,9.0,"{""amenity"": 39, ""access"": 30, ""bicycle_parking"": 30, ""capacity"": 30, ""covered"": 30, ""operator:type"": 30, ""fee"": 16, ""emergency"": 10, ""fire_hydrant:type"": 9, ""waste"": 5, ""material"": 4, ""recycling_type"": 3, ""check_date"": 2, ""name"": 2, ""office"": 1, ""addr:housenumber"": 1, ""addr:street"": 1, ""opening_hours"": 1, ""shop"": 1}","{""highway"": 333, ""surface"": 233, ""footway"": 130, ""crossing"": 123, ""name"": 102, ""attribution"": 89, ""source"": 89, ""condition"": 87, ""lanes"": 87, ""massgis:way_id"": 87, ""width"": 87, ""maxspeed"": 73, ""tactile_paving"": 63, ""sidewalk:both"": 63, ""lit"": 62, ""addr:housenumber"": 59, ""crossing:island"": 59, ""addr:street"": 58, ""building"": 56, ""crossing:markings"": 54, ""cycleway:both"": 54, ""oneway"": 46, ""parking:right"": 29, ""parking:left"": 28, ""parking:both"": 23, ""ref"": 19, ""sidewalk:left"": 18, ""sidewalk:right"": 18, ""cycleway:left"": 18, ""cycleway:right"": 18, ""emergency"": 13, ""fire_hydrant:type"": 13, ""water_source"": 13, ""barrier"": 12, ""parking:right:orientation"": 12, ""fire_hydrant:position"": 11, ""parking:both:orientation"": 10, ""amenity"": 9, ""opening_hours"": 8, ""shop"": 8, ""building:levels"": 8, ""traffic_signals:sound"": 7, ""foot"": 7, ""sidewalk"": 7, ""roof:levels"": 7, ""addr:city"": 6, ""addr:state"": 6, ""material"": 6, ""power"": 6, ""service"": 6, ""addr:postcode"": 5, ""bicycle_parking"": 5, ""parking:lane:both"": 5, ""bicycle"": 5, ""parking:left:orientation"": 5, ""roof:shape"": 5, ""operator"": 4, ""website"": 4, ""button_operated"": 4, ""covered"": 4, ""cycleway:both:lane"": 4, ""office"": 3, ""phone"": 3, ""check_date:opening_hours"": 3, ""couplings"": 3, ""parking:lane:both:parallel"": 3, ""addr:unit"": 3, ""bench"": 2, ""bus"": 2, ""network"": 2, ""network:wikidata"": 2, ""network:wikipedia"": 2, ""public_transport"": 2, ""shelter"": 2, ""check_date"": 2, ""fax"": 2, ""cuisine"": 2, ""payment:credit_cards"": 2, ""colour"": 2, ""capacity"": 2, ""bin"": 1, ""email"": 1, ""opening_hours:signed"": 1, ""disused:shop"": 1, ""payment:apple_pay"": 1, ""payment:paypal"": 1, ""school"": 1, ""payment:cash"": 1, ""payment:debit_cards"": 1, ""oneway:bicycle"": 1, ""smoothness"": 1, ""handrail"": 1, ""incline"": 1, ""ramp"": 1, ""step_count"": 1, ""cycleway"": 1, ""parking:lane:left"": 1, ""parking:lane:right"": 1, ""massgis:ref"": 1, ""maxheight"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
918,Fabcio,https://www.openstreetmap.org/user/Fabcio,3435758,3,492,Poland,iD 2.27.3,204,164,23,16,82,3,0,0,0,1,5,1.0,71.0,2.0,5.0,0.0,0.0,4.0,0.0,"{""landuse"": 6, ""amenity"": 4, ""barrier"": 2, ""highway"": 2, ""intermittent"": 1, ""natural"": 1, ""water"": 1, ""content"": 1, ""emergency"": 1, ""man_made"": 1, ""addr:city"": 1, ""addr:city:simc"": 1, ""addr:housenumber"": 1, ""addr:place"": 1, ""addr:postcode"": 1, ""building"": 1, ""source:addr"": 1, ""service"": 1}","{""building"": 71, ""addr:housenumber"": 65, ""addr:postcode"": 65, ""addr:city"": 64, ""addr:city:simc"": 61, ""addr:place"": 61, ""source:addr"": 61, ""building:levels"": 19, ""highway"": 5, ""location"": 4, ""operator"": 4, ""operator:wikidata"": 4, ""operator:wikipedia"": 4, ""phases"": 4, ""power"": 4, ""transformer"": 4, ""ref"": 3, ""devices"": 3, ""landuse"": 3, ""addr:street"": 3, ""name"": 2, ""surface"": 2, ""content"": 2, ""emergency"": 2, ""man_made"": 2, ""service"": 2, ""barrier"": 2, ""source"": 2, ""crossing"": 1, ""frequency"": 1, ""manufacturer"": 1, ""rating"": 1, ""voltage:primary"": 1, ""voltage:secondary"": 1, ""unsigned_ref"": 1, ""roof:levels"": 1, ""short_name"": 1, ""noname"": 1, ""natural"": 1, ""water"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
919,user_5589,https://www.openstreetmap.org/user/user_5589,5589,43,489,U.K. of Great Britain and Northern Ireland,"iD 2.27.3,Vespucci 19.3.2.0,StreetComplete 56.0-beta1",75,273,12,3,126,0,0,0,0,68,256,0.0,12.0,66.0,300.0,0.0,20.0,0.0,18.0,"{""highway"": 66, ""lamp_mount"": 63, ""man_made"": 63, ""utility"": 63, ""lamp_type"": 57, ""ref"": 33, ""maxspeed"": 7, ""direction"": 4, ""traffic_sign"": 4, ""lit"": 3, ""maxspeed:type"": 3, ""name"": 3, ""sidewalk"": 3, ""cycleway:both"": 2, ""lanes"": 2, ""oneway"": 2, ""surface"": 2, ""generator:method"": 1, ""generator:source"": 1, ""generator:type"": 1, ""location"": 1, ""power"": 1, ""sidewalk:left:surface"": 1}","{""highway"": 300, ""name"": 139, ""lit"": 102, ""surface"": 102, ""ref"": 100, ""sidewalk"": 90, ""lanes"": 85, ""maxspeed"": 82, ""oneway"": 81, ""lamp_mount"": 78, ""man_made"": 74, ""material"": 73, ""utility"": 73, ""lamp_type"": 71, ""foot"": 65, ""bus"": 61, ""public_transport"": 61, ""source"": 59, ""lanes:forward"": 54, ""cycleway:both"": 52, ""naptan:AtcoCode"": 50, ""naptan:Bearing"": 50, ""naptan:CommonName"": 50, ""naptan:Indicator"": 50, ""naptan:Street"": 50, ""naptan:verified"": 50, ""crossing"": 49, ""shoulder"": 48, ""crossing:markings"": 45, ""crossing:island"": 41, ""parking:both"": 39, ""tactile_paving"": 38, ""maxspeed:type"": 33, ""naptan:ShortCommonName"": 29, ""local_ref"": 28, ""naptan:Crossing"": 28, ""parking:both:restriction"": 27, ""parking:both:restriction:reason"": 27, ""naptan:Landmark"": 26, ""naptan:PlusbusZoneRef"": 26, ""barrier"": 25, ""kerb"": 24, ""seamark:type"": 20, ""waterway"": 20, ""amenity"": 18, ""operator"": 17, ""dual_carriageway"": 17, ""shelter"": 16, ""bench"": 13, ""operator:wikidata"": 13, ""addr:city"": 13, ""addr:postcode"": 13, ""turn:lanes"": 13, ""addr:street"": 12, ""sidewalk:left:surface"": 12, ""building"": 12, ""naptan:NaptanCode"": 11, ""website"": 11, ""old_ref"": 11, ""cycleway:left"": 11, ""sidewalk:both:surface"": 11, ""bin"": 9, ""junction"": 9, ""brand"": 8, ""brand:wikidata"": 8, ""opening_hours"": 8, ""lanes:backward"": 8, ""phone"": 7, ""unsigned_ref"": 7, ""parking:both:orientation"": 7, ""parking:both:staggered"": 7, ""naptan:BusStopType"": 6, ""royal_cypher"": 6, ""royal_cypher:wikidata"": 6, ""addr:country"": 6, ""check_date"": 6, ""support"": 6, ""maxheight"": 6, ""tunnel"": 6, ""shop"": 5, ""collection_times"": 4, ""post_box:type"": 4, ""wheelchair"": 4, ""addr:housenumber"": 4, ""lane_markings"": 4, ""fhrs:id"": 3, ""healthcare"": 3, ""check_date:opening_hours"": 3, ""email"": 3, ""designation"": 3, ""prow_ref"": 3, ""source:prow_ref"": 3, ""pipeline"": 3, ""substance"": 3, ""substation"": 3, ""bicycle"": 2, ""indoor"": 2, ""direction"": 2, ""traffic_sign"": 2, ""access"": 2, ""capacity"": 2, ""cuisine"": 2, ""office"": 2, ""network"": 2, ""network:wikidata"": 2, ""addr:housename"": 2, ""addr:suburb"": 2, ""highway_authority_ref"": 2, ""source:maxspeed"": 2, ""sidewalk:right:surface"": 2, ""fhrs:authority"": 2, ""fhrs:local_authority_id"": 2, ""footway"": 2, ""landuse"": 2, ""naptan:Notes"": 1, ""note"": 1, ""physically_present"": 1, ""traffic_calming"": 1, ""amenity:wikipedia"": 1, ""brand:wikipedia"": 1, ""fee"": 1, ""motorcar"": 1, ""short_name"": 1, ""socket:tesla_supercharger"": 1, ""socket:tesla_supercharger:output"": 1, ""socket:tesla_supercharger_ccs"": 1, ""socket:tesla_supercharger_ccs:output"": 1, ""tesla:ref"": 1, ""booth"": 1, ""covered"": 1, ""takeaway"": 1, ""female:signed"": 1, ""male:signed"": 1, ""opening_hours:signed"": 1, ""communication:mobile_phone"": 1, ""tower:construction"": 1, ""tower:type"": 1, ""lcn"": 1, ""disused:amenity"": 1, ""bridge"": 1, ""layer"": 1, ""maxweight:signed"": 1, ""description"": 1, ""wall"": 1, ""loc_ref"": 1, ""motor_vehicle"": 1, ""segregated"": 1, ""addr:hamlet"": 1, ""building:levels"": 1, ""building:material"": 1, ""internet_access"": 1, ""roof:levels"": 1, ""addr:county"": 1, ""isced:level"": 1, ""max_age"": 1, ""min_age"": 1, ""operator:type"": 1, ""ref:GB:uprn"": 1, ""ref:edubase"": 1, ""school:trust"": 1, ""school:type"": 1, ""wikidata"": 1, ""natural"": 1, ""source:addr"": 1, ""handrail:left"": 1, ""handrail:right"": 1, ""incline"": 1, ""ramp"": 1, ""ramp:wheelchair"": 1, ""step_count"": 1, ""fixme"": 1, ""cycleway:both:oneway"": 1, ""cycleway:both:segregated"": 1, ""oneway:bicycle"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
920,jtracey,https://www.openstreetmap.org/user/jtracey,1450048,13,489,"United States of America,Canada","StreetComplete 55.1,JOSM/1.5 (18907 en)",374,30,0,75,10,0,0,0,0,0,28,75.0,2.0,0.0,21.0,0.0,0.0,0.0,3.0,"{""building"": 75}","{""highway"": 21, ""tactile_paving"": 11, ""name"": 11, ""barrier"": 10, ""kerb"": 10, ""crossing"": 9, ""bus"": 7, ""public_transport"": 7, ""shelter"": 7, ""crossing:island"": 6, ""surface"": 6, ""bench"": 5, ""footway"": 5, ""addr:city"": 4, ""addr:housenumber"": 4, ""addr:postcode"": 4, ""addr:state"": 4, ""addr:street"": 4, ""amenity"": 3, ""bin"": 3, ""check_date"": 2, ""phone"": 2, ""website"": 2, ""building"": 2, ""landuse"": 2, ""source"": 2, ""cuisine"": 1, ""opening_hours"": 1, ""disused:shop"": 1, ""shop"": 1, ""access"": 1, ""bicycle"": 1, ""cycleway:both"": 1, ""cycleway:both:lane"": 1, ""foot"": 1, ""horse"": 1, ""lanes"": 1, ""maxspeed"": 1, ""motor_vehicle"": 1, ""oneway"": 1, ""rcn_ref"": 1, ""sidewalk"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
921,zoubinnaba,https://www.openstreetmap.org/user/zoubinnaba,5113626,5,487,Togo,JOSM/1.5 (18904 fr),320,67,17,73,9,1,0,0,0,0,2,73.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 73}","{""source"": 7, ""building"": 7, ""barrier"": 2, ""highway"": 2, ""bicycle"": 1, ""foot"": 1, ""horse"": 1, ""motor_vehicle"": 1, ""covered"": 1, ""service"": 1, ""surface"": 1}","#hotosm-project-15862,#Map4Tg,#OSMTogo,#OSMNEXTGEN2023",2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
922,Klaus6,https://www.openstreetmap.org/user/Klaus6,9959332,1,487,Germany,iD 2.27.3,300,56,52,56,21,0,1,1,0,0,1,2.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,"{""landuse"": 27, ""natural"": 20, ""waterway"": 6, ""layer"": 2, ""tunnel"": 2, ""building"": 2, ""leisure"": 1, ""highway"": 1, ""type"": 1}","{""landuse"": 7, ""highway"": 6, ""name"": 3, ""surface"": 3, ""tracktype"": 3, ""wikidata"": 2, ""natural"": 2, ""source"": 2, ""ele"": 1, ""place"": 1, ""population"": 1, ""postal_code"": 1, ""wikipedia"": 1, ""water"": 1, ""waterway"": 1, ""tourism"": 1, ""website"": 1, ""supervised"": 1, ""barrier"": 1, ""fence_type"": 1, ""access"": 1, ""building"": 1, ""type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
923,Sforzando9500,https://www.openstreetmap.org/user/Sforzando9500,20240549,18,486,U.K. of Great Britain and Northern Ireland,"iD 2.27.3,StreetComplete 55.1",327,47,2,42,68,0,0,0,0,4,15,14.0,3.0,1.0,43.0,0.0,0.0,0.0,0.0,"{""barrier"": 27, ""building"": 14, ""natural"": 4, ""water"": 2, ""highway"": 1}","{""highway"": 43, ""surface"": 35, ""natural"": 26, ""leaf_type"": 25, ""lit"": 16, ""designation"": 12, ""prow_ref"": 12, ""foot"": 10, ""source"": 9, ""width"": 8, ""material"": 7, ""power"": 7, ""maxspeed"": 7, ""name"": 7, ""bicycle"": 7, ""crossing"": 6, ""crossing:island"": 5, ""cycleway:both"": 5, ""lane_markings"": 5, ""left:border"": 5, ""right:border"": 5, ""oneway"": 5, ""tracktype"": 5, ""tactile_paving"": 4, ""sidewalk:left"": 4, ""sidewalk:right"": 4, ""traffic_signals:sound"": 3, ""smoothness"": 3, ""maxspeed:type"": 3, ""old_ref"": 3, ""building"": 3, ""barrier"": 2, ""button_operated"": 2, ""cycleway"": 2, ""source:name"": 2, ""traffic_signals:vibration"": 1, ""lanes"": 1, ""admin_level"": 1, ""boundary"": 1, ""passing"": 1, ""construction"": 1, ""landuse"": 1, ""bridge"": 1, ""layer"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
924,Achiper,https://www.openstreetmap.org/user/Achiper,10226939,2,486,Spain,iD 2.27.3,247,112,74,10,35,8,0,0,0,3,2,0.0,0.0,9.0,28.0,0.0,4.0,0.0,0.0,"{""highway"": 9, ""ford"": 2, ""noexit"": 1, ""surface"": 1, ""landuse"": 1, ""name"": 1, ""residential"": 1}","{""highway"": 28, ""surface"": 12, ""oneway"": 6, ""source"": 6, ""ref"": 6, ""bicycle"": 4, ""motor_vehicle"": 4, ""name"": 4, ""boat"": 4, ""waterway"": 4, ""access"": 3, ""landuse"": 3, ""foot"": 2, ""horse"": 2, ""tracktype"": 2, ""lanes"": 2, ""lanes:backward"": 2, ""lanes:forward"": 2, ""barrier"": 1, ""locked"": 1, ""intermittent"": 1, ""maxspeed:backward"": 1, ""natural"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
925,Inkle,https://www.openstreetmap.org/user/Inkle,12943226,16,485,U.K. of Great Britain and Northern Ireland,"StreetComplete 55.1,iD 2.27.3",128,42,25,55,229,6,0,0,0,0,17,50.0,207.0,5.0,38.0,0.0,0.0,0.0,0.0,"{""addr:city"": 50, ""addr:street"": 50, ""building"": 50, ""roof:levels"": 50, ""source"": 50, ""highway"": 5, ""service"": 5}","{""source"": 231, ""addr:city"": 207, ""addr:street"": 207, ""building"": 207, ""roof:levels"": 204, ""addr:housenumber"": 202, ""addr:postcode"": 176, ""building:levels"": 100, ""highway"": 38, ""name"": 22, ""bus"": 16, ""naptan:AtcoCode"": 16, ""naptan:Bearing"": 16, ""naptan:BusStopType"": 16, ""naptan:CommonName"": 16, ""naptan:Indicator"": 16, ""naptan:NaptanCode"": 16, ""naptan:PlusbusZoneRef"": 16, ""naptan:Status"": 16, ""naptan:StopType"": 16, ""naptan:Street"": 16, ""naptan:verified"": 16, ""public_transport"": 16, ""route_ref"": 16, ""shelter"": 16, ""surface"": 16, ""bench"": 14, ""bin"": 11, ""service"": 9, ""tactile_paving"": 7, ""oneway"": 6, ""postal_code"": 5, ""NaPTANAreaCode"": 4, ""naptan:Towards"": 4, ""shelter_ref"": 4, ""lit"": 3, ""sidewalk"": 2, ""tracktype"": 2, ""check_date:surface"": 2, ""barrier"": 1, ""lanes"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
926,bartovx,https://www.openstreetmap.org/user/bartovx,8151472,18,485,Poland,iD 2.27.3,263,31,60,14,48,26,0,43,0,35,5,0.0,5.0,12.0,34.0,0.0,0.0,24.0,3.0,"{""brand"": 30, ""brand:wikidata"": 30, ""amenity"": 24, ""operator"": 21, ""parcel_mail_in"": 21, ""parcel_pickup"": 19, ""ref"": 19, ""website"": 17, ""operator:wikidata"": 16, ""addr:housenumber"": 13, ""addr:postcode"": 13, ""addr:street"": 13, ""name"": 13, ""addr:city"": 12, ""highway"": 12, ""shop"": 9, ""name:pl"": 8, ""name:uk"": 8, ""crossing"": 8, ""footway"": 7, ""crossing:markings"": 5, ""crossing:island"": 4, ""landuse"": 3, ""leisure"": 1, ""bridge"": 1, ""layer"": 1}","{""name"": 60, ""ref"": 44, ""from"": 43, ""network"": 43, ""network:wikidata"": 43, ""network:wikipedia"": 43, ""public_transport:version"": 43, ""route"": 43, ""to"": 43, ""type"": 43, ""operator"": 36, ""highway"": 34, ""source"": 15, ""surface"": 14, ""maxspeed"": 8, ""via"": 6, ""junction"": 5, ""building"": 5, ""addr:city"": 4, ""addr:street"": 4, ""landuse"": 4, ""service"": 4, ""addr:housenumber"": 3, ""addr:postcode"": 3, ""amenity"": 3, ""lanes"": 3, ""old_name"": 3, ""leisure"": 3, ""footway"": 3, ""source:addr"": 2, ""shop"": 2, ""brand"": 1, ""brand:wikidata"": 1, ""opening_hours"": 1, ""operator:wikidata"": 1, ""operator:wikipedia"": 1, ""parcel_mail_in"": 1, ""parcel_pickup"": 1, ""website"": 1, ""source:maxspeed"": 1, ""_SITE_CODE_"": 1, ""area:size:ha"": 1, ""established"": 1, ""protect_class"": 1, ""protection_title"": 1, ""protection_title:pl"": 1, ""oneway"": 1, ""turn:lanes"": 1, ""sport"": 1, ""barrier"": 1, ""man_made"": 1, ""access"": 1, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""state"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
927,BáthoryPéter,https://www.openstreetmap.org/user/B%C3%A1thoryP%C3%A9ter,408450,2,484,Hungary,JOSM/1.5 (18907 hu),109,316,10,16,32,1,0,0,0,1,21,1.0,1.0,6.0,27.0,3.0,15.0,2.0,0.0,"{""highway"": 6, ""waterway"": 3, ""leisure"": 2, ""amenity"": 2, ""layer"": 2, ""natural"": 2, ""fixme"": 1, ""sport"": 1, ""covered"": 1, ""shelter_type"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""building"": 1, ""contact:email"": 1, ""contact:phone"": 1, ""denomination"": 1, ""name"": 1, ""religion"": 1, ""architect"": 1, ""bridge:structure"": 1, ""description"": 1, ""man_made"": 1, ""material"": 1, ""start_date"": 1, ""tunnel"": 1}","{""highway"": 27, ""name"": 19, ""waterway"": 15, ""source"": 13, ""crossing"": 9, ""crossing_ref"": 9, ""railway"": 7, ""bicycle"": 6, ""ref"": 6, ""layer"": 6, ""tunnel"": 6, ""surface"": 5, ""direction"": 4, ""maxspeed"": 4, ""crossing:barrier"": 3, ""crossing:light"": 3, ""lcn"": 2, ""smoothness"": 2, ""source:maxspeed"": 2, ""demolished:building"": 2, ""crossing:bell"": 1, ""supervised"": 1, ""distance"": 1, ""fixme"": 1, ""CLC:code"": 1, ""CLC:id"": 1, ""CLC:year"": 1, ""landuse"": 1, ""lanes"": 1, ""lit"": 1, ""axle_load"": 1, ""electrified"": 1, ""gauge"": 1, ""operator"": 1, ""passenger_lines"": 1, ""railway:ballastless"": 1, ""railway:bidirectional"": 1, ""railway:etcs"": 1, ""railway:evm"": 1, ""railway:lzb"": 1, ""railway:preferred_direction"": 1, ""railway:pzb"": 1, ""railway:rail"": 1, ""railway:track_class"": 1, ""railway:track_type"": 1, ""railway:traffic_mode"": 1, ""structure_gauge"": 1, ""usage"": 1, ""footway"": 1, ""building"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
928,migara123,https://www.openstreetmap.org/user/migara123,11019536,2,484,Bosnia & Herzegovina,iD 2.27.3,362,32,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 90}",{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
929,map_man5588,https://www.openstreetmap.org/user/map_man5588,20332732,12,483,United States of America,JOSM/1.5 (18907 en),437,12,0,22,12,0,0,0,0,0,1,0.0,0.0,8.0,9.0,2.0,1.0,0.0,0.0,"{""natural"": 12, ""water"": 11, ""highway"": 8, ""source"": 7, ""informal"": 3, ""waterway"": 2, ""name"": 1}","{""highway"": 9, ""name"": 6, ""access"": 2, ""attribution"": 2, ""import"": 2, ""nfs:teton:OBJECTID"": 2, ""tracktype"": 2, ""natural"": 2, ""source"": 2, ""water"": 2, ""ford"": 1, ""tiger:cfcc"": 1, ""tiger:county"": 1, ""tiger:name_base"": 1, ""tiger:name_type"": 1, ""tiger:reviewed"": 1, ""waterway"": 1, ""informal"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
930,PeterMapit,https://www.openstreetmap.org/user/PeterMapit,10573400,1,483,U.K. of Great Britain and Northern Ireland,iD 2.27.3,110,194,80,19,74,5,0,0,1,8,10,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,"{""barrier"": 20, ""natural"": 3, ""highway"": 3, ""designation"": 2, ""foot"": 2, ""prow_ref"": 2, ""source:prow_ref"": 2, ""leisure"": 1, ""intermittent"": 1, ""water"": 1}","{""highway"": 32, ""designation"": 22, ""foot"": 22, ""prow_ref"": 22, ""source:prow_ref"": 22, ""natural"": 18, ""landuse"": 16, ""bicycle"": 16, ""horse"": 16, ""barrier"": 15, ""name"": 15, ""source"": 11, ""surface"": 6, ""source:designation"": 6, ""width"": 5, ""crop"": 5, ""tracktype"": 4, ""leisure"": 3, ""leaf_cycle"": 3, ""leaf_type"": 3, ""maxspeed"": 2, ""maxspeed:type"": 2, ""bridleway"": 2, ""service"": 2, ""lanes"": 1, ""addr:suburb"": 1, ""sidewalk"": 1, ""is_in"": 1, ""source:name"": 1, ""operator"": 1, ""fence_type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
